"Date","Price","Open","High","Low","Change %"
"Jun 08, 2020","13,885.0","13,870.0","13,995.0","13,865.0","0.11%"
"Jun 05, 2020","13,870.0","14,075.0","14,107.5","13,862.5","-1.60%"
"Jun 04, 2020","14,095.0","14,105.0","14,170.0","14,070.0","0.00%"
"Jun 03, 2020","14,095.0","14,245.0","14,255.0","14,095.0","-2.22%"
"Jun 02, 2020","14,415.0","14,630.0","14,630.0","14,415.0","-1.33%"
"May 29, 2020","14,610.0","14,725.0","14,745.0","14,607.5","-0.71%"
"May 28, 2020","14,715.0","14,740.0","14,777.5","14,710.0","0.03%"
"May 27, 2020","14,710.0","14,740.0","14,780.0","14,707.5","-0.30%"
"May 26, 2020","14,755.0","14,730.0","14,779.5","14,727.5","0.31%"
"May 20, 2020","14,710.0","14,755.0","14,792.5","14,705.0","-0.41%"
"May 19, 2020","14,770.0","14,805.0","14,845.0","14,755.0","-0.54%"
"May 18, 2020","14,850.0","14,855.0","14,895.0","14,835.0","-0.07%"
"May 15, 2020","14,860.0","14,875.0","14,925.0","14,857.5","-0.17%"
"May 14, 2020","14,885.0","14,892.5","14,962.5","14,867.5","0.13%"
"May 13, 2020","14,865.0","14,885.0","14,907.5","14,852.5","-0.27%"
"May 12, 2020","14,905.0","14,930.0","14,986.0","14,902.0","0.07%"
"May 11, 2020","14,895.0","14,945.0","14,962.5","14,885.0","-0.17%"
"May 08, 2020","14,920.0","15,025.0","15,052.5","14,908.0","-0.83%"
"May 06, 2020","15,045.0","15,060.0","15,125.0","15,025.0","-0.23%"
"May 05, 2020","15,080.0","15,125.0","15,150.0","15,030.0","-0.13%"
"May 04, 2020","15,100.0","14,960.0","15,135.0","14,960.0","1.51%"
"Apr 30, 2020","14,875.0","15,190.0","15,195.0","14,857.5","-2.75%"
"Apr 29, 2020","15,295.0","15,355.0","15,412.5","15,290.0","-0.83%"
"Apr 28, 2020","15,422.5","15,405.0","15,507.5","15,395.0","0.24%"
"Apr 27, 2020","15,385.0","15,455.0","15,505.0","15,385.0","-0.10%"
"Apr 24, 2020","15,400.0","15,452.5","15,525.0","15,400.0","0.00%"
"Apr 23, 2020","15,400.0","15,524.0","15,607.5","15,400.0","-0.32%"
"Apr 22, 2020","15,450.0","15,530.0","15,610.0","15,450.0","-0.03%"
"Apr 21, 2020","15,455.0","15,500.0","15,585.0","15,455.0","0.28%"
"Apr 20, 2020","15,412.5","15,470.0","15,519.0","15,412.5","-0.11%"
"Apr 17, 2020","15,430.0","15,505.0","15,552.5","15,400.0","-1.34%"
"Apr 16, 2020","15,640.0","15,657.5","15,785.0","15,640.0","0.48%"
"Apr 15, 2020","15,565.0","15,645.0","15,697.5","15,540.0","-0.42%"
"Apr 14, 2020","15,630.0","15,700.0","15,727.5","15,630.0","0.00%"
"Apr 13, 2020","15,630.0","15,800.0","15,825.0","15,630.0","-1.20%"
"Apr 09, 2020","15,820.0","16,177.5","16,240.0","15,820.0","-2.19%"
"Apr 08, 2020","16,175.0","16,180.0","16,330.0","16,167.5","0.00%"
"Apr 07, 2020","16,175.0","16,385.0","16,436.5","16,175.0","-1.45%"
"Apr 06, 2020","16,412.5","16,450.0","16,575.0","16,412.5","-0.08%"
"Apr 03, 2020","16,425.0","16,445.0","16,505.0","16,425.0","-0.30%"
"Apr 02, 2020","16,475.0","16,505.0","16,570.0","16,475.0","0.15%"
